"Pregunta","Respuesta1","Respuesta2","Respuesta3","Correcta"
"¿Cuál es el deporte más popular del mundo?","Fútbol","Baloncesto","Tenis","Fútbol"
"¿En qué continente se encuentra Brasil?","América","África","Asia","América"
"¿Quién fue el famoso científico que formuló la teoría de la relatividad?","Albert Einstein","Isaac Newton","Nikola Tesla","Albert Einstein"
"¿En qué año terminó la Segunda Guerra Mundial?","1945","1944","1946","1945"
"¿Cuál es la capital de Japón?","Tokio","Seúl","Beijing","Tokio"
"¿Qué planeta es conocido como el 'planeta rojo'?","Marte","Venus","Júpiter","Marte"
"¿Quién es el autor de '1984'?","George Orwell","Ray Bradbury","William Golding","George Orwell"
"¿Cuál es la lengua oficial de Brasil?","Portugués","Español","Inglés","Portugués"
"¿Qué animal es conocido como el 'rey de la selva'?","León","Tigre","Elefante","León"
"¿Quién inventó la bombilla eléctrica?","Thomas Edison","Nikola Tesla","Alexander Graham Bell","Thomas Edison"
"¿Cuál es el continente más pequeño?","Oceanía","Europa","África","Oceanía"
"¿En qué año se descubrió América?","1492","1500","1485","1492"
"¿Quién escribió 'Matar a un ruiseñor'?","Harper Lee","J.D. Salinger","Ernest Hemingway","Harper Lee"
"¿Qué país es famoso por su carnaval en Río de Janeiro?","Brasil","Argentina","Colombia","Brasil"
"¿Quién es conocido como el padre de la física moderna?","Isaac Newton","Galileo Galilei","Albert Einstein","Isaac Newton"
"¿Cuál es el idioma oficial de Egipto?","Árabe","Inglés","Francés","Árabe"
"¿En qué continente se encuentra Australia?","Oceanía","África","Asia","Oceanía"
"¿Qué elemento químico tiene el símbolo 'Na'?","Sodio","Neón","Níquel","Sodio"
"¿Cuál es el continente conocido como 'el viejo mundo'?","Europa","Asia","África","Europa"
"¿Quién escribió 'Los tres mosqueteros'?","Alexandre Dumas","Jules Verne","Victor Hugo","Alexandre Dumas"
"¿Qué planeta es conocido como el 'planeta anillado'?","Saturno","Júpiter","Urano","Saturno"
"¿Quién pintó 'La noche estrellada'?","Vincent van Gogh","Claude Monet","Pablo Picasso","Vincent van Gogh"
"¿Cuál es la capital de Canadá?","Ottawa","Toronto","Vancouver","Ottawa"
"¿En qué año se fundó la Unión Europea?","1993","1991","1995","1993"
"¿Quién es conocido por la teoría de la evolución?","Charles Darwin","Lamarck","Gregor Mendel","Charles Darwin"
"¿Cuál es el principal ingrediente de la paella?","Arroz","Pasta","Patata","Arroz"
"¿Qué país es famoso por sus relojes?","Suiza","Francia","Italia","Suiza"
"¿Quién fue el primer emperador de China?","Qin Shi Huang","Han Wudi","Confucio","Qin Shi Huang"
"¿Qué elemento químico tiene el símbolo 'Fe'?","Hierro","Plata","Oro","Hierro"
"¿En qué continente se encuentra el desierto del Sahara?","África","Asia","América","África"
"¿Cuál es el principal órgano del sistema circulatorio?","Corazón","Estómago","Hígado","Corazón"
"¿Quién escribió 'El gran Gatsby'?","F. Scott Fitzgerald","Ernest Hemingway","Mark Twain","F. Scott Fitzgerald"
"¿Qué país es conocido por la 'tierra de los canguros'?","Australia","Canadá","Sudáfrica","Australia"
"¿Quién descubrió la penicilina?","Alexander Fleming","Louis Pasteur","Joseph Lister","Alexander Fleming"
"¿Qué es un triángulo equilátero?","Un triángulo con todos sus lados iguales","Un triángulo con dos lados iguales","Un triángulo con un ángulo recto","Un triángulo con todos sus lados iguales"
"¿Cuál es el océano que rodea a la Antártida?","Océano Antártico","Océano Atlántico","Océano Pacífico","Océano Antártico"
"¿Quién pintó 'El jardín de las delicias'?","Hieronymus Bosch","El Greco","Diego Rivera","Hieronymus Bosch"
"¿En qué año se cayó el Muro de Berlín?","1989","1987","1991","1989"
"¿Cuál es el idioma oficial de Canadá?","Inglés y Francés","Inglés","Francés","Inglés y Francés"
"¿Qué es la teoría del Big Bang?","La teoría sobre el origen del universo","La teoría sobre la evolución de las especies","La teoría sobre la formación de planetas","La teoría sobre el origen del universo"
"¿Quién es el autor de 'El Principito'?","Antoine de Saint-Exupéry","Jules Verne","Éric-Emmanuel Schmitt","Antoine de Saint-Exupéry"
"¿Cuál es el símbolo químico del calcio?","Ca","Cl","Ca","Cl"
"¿En qué continente se encuentra la ciudad de Buenos Aires?","América","África","Europa","América"
"¿Qué país es conocido por su arquitectura de castillos medievales?","Escocia","Francia","Italia","Escocia"
"¿Quién escribió 'Mujer frente al espejo'?","Pablo Neruda","Gabriel García Márquez","Octavio Paz","Pablo Neruda"
"¿En qué año comenzó la Primera Guerra Mundial?","1914","1912","1916","1914"
"¿Quién es conocido como el 'padre de la computación'?","Charles Babbage","Alan Turing","John von Neumann","Charles Babbage"
"¿Qué país es famoso por sus pirámides?","Egipto","Mesopotamia","Grecia","Egipto"
"¿Quién pintó 'La escuela de Atenas'?","Rafael","Leonardo da Vinci","Michelangelo","Rafael"
"¿Qué es la genética?","El estudio de los genes y la herencia","El estudio de los virus","El estudio del clima","El estudio de los genes y la herencia"
"¿Quién escribió 'Drácula'?","Bram Stoker","Stephen King","Mary Shelley","Bram Stoker"
"¿En qué país se encuentra la Torre Eiffel?","Francia","Alemania","Reino Unido","Francia"
"¿Quién es conocido como el 'padre de la aviación'?","Orville y Wilbur Wright","Charles Lindbergh","Amelia Earhart","Orville y Wilbur Wright"
"¿Qué animal es conocido como el 'gigante gentil'?","Rinoceronte","Elefante","Jirafa","Elefante"
"¿En qué año se construyó el Coliseo de Roma?","80 d.C.","100 d.C.","70 d.C.","80 d.C."
"¿Quién pintó 'El jardín de las delicias'?","Hieronymus Bosch","El Greco","Diego Rivera","Hieronymus Bosch"
"¿Cuál es el país con más islas en el mundo?","Suecia","Canadá","Indonesia","Suecia"
"¿Quién escribió 'El retrato de Dorian Gray'?","Oscar Wilde","Henry James","James Joyce","Oscar Wilde"
"¿Cuál es la capital de Australia?","Canberra","Sídney","Melbourne","Canberra"
"¿En qué año se lanzó el primer iPhone?","2007","2006","2008","2007"
"¿Qué país es famoso por el tango?","Argentina","Chile","Uruguay","Argentina"
"¿Quién fue el primer ser humano en orbitar la Tierra?","Yuri Gagarin","Neil Armstrong","Buzz Aldrin","Yuri Gagarin"
"¿Qué es el ADN?","La molécula que contiene la información genética","La molécula que transporta oxígeno","La molécula que produce energía","La molécula que contiene la información genética"
"¿En qué país se encuentra el Machu Picchu?","Perú","Colombia","Bolivia","Perú"
"¿Qué planeta tiene el día más largo?","Venus","Marte","Saturno","Venus"
"¿Quién pintó 'Guernica'?","Pablo Picasso","Salvador Dalí","Marc Chagall","Pablo Picasso"
"¿Qué país es famoso por su whisky escocés?","Escocia","Irlanda","Francia","Escocia"
"¿Cuál es el símbolo químico del mercurio?","Hg","Mr","Mg","Hg"
"¿En qué continente se encuentra el Himalaya?","Asia","Europa","África","Asia"
"¿Qué animal es conocido como el 'rey de la sabana'?","León","Tigre","Elefante","León"
"¿Cuál es la capital de España?","Madrid","Barcelona","Valencia","Madrid"
"¿Quién escribió 'Las aventuras de Sherlock Holmes'?","Arthur Conan Doyle","Agatha Christie","Edgar Allan Poe","Arthur Conan Doyle"
"¿Qué planeta es el más cercano al Sol?","Mercurio","Venus","Tierra","Mercurio"
"¿En qué año se creó la NASA?","1958","1960","1965","1958"
"¿Cuál es la capital de Italia?","Roma","Milán","Nápoles","Roma"
"¿Quién fue el primer presidente de Sudáfrica post-apartheid?","Nelson Mandela","Desmond Tutu","Julius Malema","Nelson Mandela"
"¿En qué continente se encuentra el desierto de Atacama?","América del Sur","África","Asia","América del Sur"
"¿Qué país es conocido por sus chocolates?","Suiza","Bélgica","Francia","Suiza"
"¿Qué escritor es conocido por sus novelas de ciencia ficción?","Isaac Asimov","Arthur C. Clarke","Philip K. Dick","Isaac Asimov"
"¿En qué país se encuentra la ciudad de Petra?","Jordania","Egipto","Irak","Jordania"
"¿Quién fue el fundador del Imperio Mongol?","Genghis Khan","Attila el Huno","Alexander el Grande","Genghis Khan"
